Index;name;album;artist;release_date;length;popularity;explicit;danceability;acousticness;danceability;energy;instrumentalness;liveness;loudness;speechiness;tempo;time_signature;key;mode;valence
142;Light It Up (feat. Nyla & Fuse ODG) [Remix];Peace Is The Mission (Extended);Major Lazer;2015-11-27;166.138;0;False;0.747;0.0375;0.747;0.877;0.000833;0.233;-3.782;0.0664;107.991;4;9;0;0.752
143;Side To Side;Dangerous Woman;Ariana Grande;2016-05-20;226.16;6;True;0.65;0.0528;0.65;0.736;0.0;0.235;-5.84;0.229;159.173;4;6;0;0.613
144;i hate u, i love u (feat. olivia o'brien);us;Garrett Nash;2016-03-25;251.033;82;True;0.492;0.687;0.492;0.275;0.0;0.101;-13.4;0.3;92.6;4;6;0;0.18
145;Cake By The Ocean;SWAAY;DNCE;2015-10-23;218.44;0;True;0.771;0.147;0.771;0.76;0.0;0.053;-5.459;0.0514;119.0;4;4;0;0.881
146;Be Alright;A Place We Knew;Dean Lewis;2019-03-22;196.493;78;True;0.551;0.705;0.551;0.537;0.0;0.0802;-7.595;0.034;126.421;4;11;1;0.493
147;1-800-273-8255;Everybody;Logic;2017-05-05;250.173;82;True;0.62;0.569;0.62;0.574;0.0;0.19;-7.788;0.0479;100.023;4;5;0;0.357
148;"Love Me Like You Do - From ""Fifty Shades Of Grey""";Fifty Shades Of Grey (Original Motion Picture Soundtrack);Various Artists;2015-02-10;250.266;66;False;0.258;0.253;0.258;0.659;0.0;0.111;-5.903;0.0596;189.558;4;5;0;0.272
149;Panda;New English;Desiigner;2016-06-26;246.761;75;True;0.576;0.028;0.576;0.766;1.68e-06;0.366;-4.943;0.449;144.833;4;10;0;0.236
150;Silence;Silence;Marshmello;2017-08-11;180.822;85;False;0.52;0.256;0.52;0.761;4.96e-06;0.17;-3.093;0.0853;141.971;4;4;1;0.286
151;Hotline Bling;Views;Drake;2016-05-06;267.066;82;False;0.891;0.00258;0.891;0.628;0.00019;0.0504;-7.863;0.0551;134.966;4;2;1;0.552
152;Me, Myself & I;When It's Dark Out;G-Eazy;2015-12-04;251.466;83;True;0.756;0.0184;0.756;0.674;0.0;0.158;-6.518;0.0959;111.995;4;0;0;0.389
153;I Feel It Coming;Starboy;The Weeknd;2016-11-24;269.186;76;False;0.773;0.426;0.773;0.819;0.0;0.0679;-5.946;0.118;92.99;4;0;0;0.585
154;Hotel California - 2013 Remaster;Hotel California (2013 Remaster);Eagles;1976-12-08;391.376;87;False;0.579;0.00574;0.579;0.508;0.000494;0.0575;-9.484;0.027;147.125;4;2;1;0.609
155;Where Are Ü Now (with Justin Bieber);Skrillex and Diplo present Jack Ü;Jack Ü;2015-02-24;250.285;78;False;0.432;0.041;0.432;0.781;4.21e-06;0.0789;-4.038;0.0567;139.432;4;4;0;0.197
156;Lush Life;So Good;Zara Larsson;2017-03-17;201.122;81;False;0.694;0.132;0.694;0.712;0.0;0.211;-3.923;0.046;98.023;4;7;0;0.799
157;Stay;Stay;Zedd;2017-02-23;210.09;80;False;0.69;0.253;0.69;0.622;0.0;0.116;-5.025;0.0622;102.04;4;5;0;0.544
158;Mask Off;FUTURE;Future;2017-08-04;204.6;50;True;0.833;0.0102;0.833;0.434;0.0219;0.165;-8.795;0.431;150.062;4;2;1;0.281
159;Starving;Starving;Hailee Steinfeld;2016-07-22;181.88;81;False;0.728;0.378;0.728;0.616;0.0;0.105;-4.238;0.0645;99.962;4;4;1;0.508
160;Dreams - 2004 Remaster;Rumours (Super Deluxe);Fleetwood Mac;1977-02-04;257.8;87;False;0.828;0.0644;0.828;0.492;0.00428;0.128;-9.744;0.0276;120.151;4;0;1;0.789
161;Too Good;Views;Drake;2016-05-13;263.373;1;True;0.793;0.0484;0.793;0.653;4.91e-05;0.1;-7.839;0.103;117.993;4;7;1;0.393
162;24K Magic;24K Magic;Bruno Mars;2016-11-17;225.983;83;False;0.818;0.034;0.818;0.803;0.0;0.153;-4.282;0.0797;106.97;4;1;1;0.632
163;Fast Car;Fast Car;Jonas Blue;2015-12-04;212.424;72;False;0.644;0.484;0.644;0.57;0.0;0.299;-6.994;0.052;113.945;4;9;1;0.527
164;PILLOWTALK;Mind Of Mine (Deluxe Edition);ZAYN;2016-03-25;202.746;82;True;0.584;0.117;0.584;0.7;0.0;0.0939;-4.275;0.0456;124.944;4;11;1;0.438
165;Rather Be (feat. Jess Glynne);New Eyes;Clean Bandit;2014-06-02;227.833;64;False;0.799;0.162;0.799;0.586;2.03e-06;0.193;-6.735;0.0377;120.97;4;11;1;0.549
166;Roses;Roses;The Chainsmokers;2015-06-16;226.738;78;False;0.713;0.0435;0.713;0.802;0.00377;0.309;-7.055;0.0561;100.001;4;4;1;0.343
167;Sugar (feat. Francesco Yates);Sugar;Robin Schulz;2015-09-25;219.043;81;False;0.636;0.0185;0.636;0.815;0.0;0.163;-5.098;0.0581;123.063;4;5;0;0.636
168;WAP (feat. Megan Thee Stallion);WAP (feat. Megan Thee Stallion);Cardi B;2020-08-07;187.541;86;True;0.935;0.0194;0.935;0.454;0.0;0.0824;-7.509;0.375;133.073;4;1;1;0.357
169;Paris;Memories...Do Not Open;The Chainsmokers;2017-04-07;221.506;77;False;0.653;0.0215;0.653;0.658;1.66e-06;0.0939;-6.428;0.0304;99.99;4;2;1;0.219
170;Trap Queen;Fetty Wap (Deluxe);Fetty Wap;2015-09-25;222.093;78;True;0.746;0.0244;0.746;0.873;0.0;0.354;-3.803;0.128;148.075;4;7;1;0.817
171;Needed Me;ANTI;Rihanna;2016-01-28;191.6;0;True;0.671;0.11;0.671;0.314;0.0;0.0825;-8.091;0.244;110.898;4;5;0;0.296
172;Swalla (feat. Nicki Minaj & Ty Dolla $ign);Swalla (feat. Nicki Minaj & Ty Dolla $ign);Jason Derulo;2017-02-23;216.408;80;True;0.696;0.075;0.696;0.817;0.0;0.187;-3.862;0.109;98.064;4;1;1;0.782
173;Castle on the Hill;Castle on the Hill;Ed Sheeran;2017-01-06;261.153;62;False;0.461;0.0232;0.461;0.834;1.14e-05;0.14;-4.868;0.0989;135.007;4;2;1;0.471
174;Firestone;Firestone;Kygo;2015-06-24;273.684;22;False;0.486;0.408;0.486;0.652;6.63e-05;0.077;-7.226;0.052;113.055;4;11;0;0.391
175;Fake Love;Fake Love;Drake;2016-10-24;207.813;0;True;0.924;0.182;0.924;0.543;0.0;0.103;-7.474;0.298;133.907;4;9;0;0.736
176;Young Dumb & Broke;American Teen;Khalid;2017-04-27;202.546;85;False;0.799;0.199;0.799;0.539;1.66e-05;0.165;-6.351;0.0421;136.948;4;1;1;0.394
177;Sweet but Psycho;Sweet but Psycho;Ava Max;2018-08-17;187.436;10;False;0.719;0.0691;0.719;0.704;0.0;0.166;-4.724;0.0476;133.002;4;1;1;0.628
178;Meant to Be (feat. Florida Georgia Line);All Your Fault: Pt. 2;Bebe Rexha;2017-08-11;163.87;79;False;0.643;0.047;0.643;0.783;0.0;0.083;-6.458;0.0856;154.084;4;10;1;0.579
179;Feel It Still;Woodstock;Portugal. The Man;2017-06-16;163.253;81;False;0.801;0.0417;0.801;0.795;0.000113;0.0717;-5.115;0.0504;79.028;4;1;0;0.754
180;"Happy - From ""Despicable Me 2""";"Happy (From ""Despicable Me 2"")";Pharrell Williams;2014-01-22;233.293;0;False;0.662;0.291;0.662;0.757;0.0;0.0885;-6.818;0.144;159.945;4;5;0;0.962
181;Middle;Middle;DJ Snake;2015-10-16;220.573;0;False;0.564;0.0175;0.564;0.737;0.0;0.054;-4.079;0.0414;104.764;4;9;1;0.211
182;Want to Want Me;Everything Is 4;Jason Derulo;2015-05-29;207.719;79;False;0.775;0.00906;0.775;0.68;0.0;0.109;-5.508;0.0629;114.025;4;0;0;0.656
183;"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack";"Earned It (Fifty Shades Of Grey) [From The ""Fifty Shades Of Grey"" Soundtrack]";The Weeknd;2014-12-23;252.226;81;False;0.659;0.385;0.659;0.381;0.0;0.0972;-5.922;0.0304;119.844;3;2;0;0.426
184;How Deep Is Your Love;How Deep Is Your Love;Calvin Harris;2015-07-17;212.64;80;False;0.738;0.0392;0.738;0.868;0.00169;0.388;-4.373;0.0731;122.003;4;11;0;0.336
185;Stole the Show;Stole the Show;Kygo;2015-03-23;222.801;17;False;0.679;0.155;0.679;0.662;0.0;0.152;-6.069;0.174;99.879;4;8;0;0.438
186;Call on Me - Ryan Riback Remix;Call On Me (Remixes);Starley;2016-10-18;222.04;67;False;0.67;0.0604;0.67;0.838;0.000611;0.159;-4.031;0.0362;104.998;4;0;1;0.717
187;Bang Bang;Sweet Talker (Deluxe Version);Jessie J;2014-10-14;199.386;83;False;0.706;0.26;0.706;0.786;0.0;0.38;-3.417;0.091;150.028;4;0;0;0.751
188;Don't Wanna Know;Don't Wanna Know;Maroon 5;2016-10-11;214.48;0;False;0.777;0.356;0.777;0.627;0.0;0.0956;-6.142;0.0792;100.054;4;7;1;0.444
189;Dark Horse;PRISM (Deluxe);Katy Perry;2013-10-18;215.672;80;False;0.645;0.00314;0.645;0.585;0.0;0.165;-6.122;0.0513;131.931;4;6;1;0.353
190;I See Fire;x (Deluxe Edition);Ed Sheeran;2014-06-21;299.146;0;False;0.641;0.638;0.641;0.176;5.14e-06;0.252;-11.692;0.0349;76.031;4;6;1;0.297
191;Pompeii;Bad Blood;Bastille;2013-01-01;214.147;77;False;0.679;0.0755;0.679;0.715;0.0;0.271;-6.383;0.0407;127.435;4;9;1;0.571
192;Prayer in C - Robin Schulz Radio Edit;Prayer in C;Lilly Wood and The Prick;2014-05-16;189.413;76;False;0.763;0.024;0.763;0.875;5.41e-06;0.599;-5.797;0.0262;123.013;4;9;0;0.8
193;Rude;Don't Kill the Magic;MAGIC!;2014-06-25;224.84;84;False;0.773;0.0422;0.773;0.758;0.0;0.305;-4.993;0.0381;144.033;4;1;1;0.925
194;Shut Up and Dance;TALKING IS HARD;WALK THE MOON;2014-12-02;199.08;86;False;0.578;0.00701;0.578;0.866;0.0;0.257;-3.804;0.0619;128.038;4;1;1;0.619
195;My House;My House;Flo Rida;2015-04-07;192.19;81;False;0.688;0.0215;0.688;0.702;0.0;0.128;-4.792;0.0499;94.006;4;7;0;0.74
196;Timber (feat. Ke$ha);Global Warming: Meltdown (Deluxe Version);Pitbull;2012;204.16;85;False;0.581;0.0295;0.581;0.963;0.0;0.139;-4.087;0.0981;129.992;4;11;1;0.788
197;No Money;No Money;Galantis;2016-04-01;189.126;72;False;0.671;0.0282;0.671;0.916;0.00762;0.24;-4.014;0.0397;126.01;4;6;0;0.803
198;The Ocean (feat. Shy Martin);The Ocean (feat. Shy Martin);Mike Perry;2016-04-15;183.414;75;False;0.632;0.0225;0.632;0.575;1.81e-06;0.104;-6.478;0.029;90.037;4;5;1;0.188
199;I'm Not The Only One;In The Lonely Hour;Sam Smith;2014-01-01;239.316;0;False;0.453;0.554;0.453;0.496;2.65e-05;0.0772;-5.785;0.0453;80.994;4;5;1;0.501
200;A Sky Full of Stars;Ghost Stories;Coldplay;2014-05-19;267.866;84;False;0.545;0.00617;0.545;0.675;0.00197;0.209;-6.474;0.0279;124.97;4;6;1;0.162
201;Sex;Sex;Cheat Codes;2016-05-27;228.361;66;True;0.51;0.00451;0.51;0.692;0.0;0.138;-5.825;0.171;102.42;4;0;1;0.209
202;Into You;Dangerous Woman;Ariana Grande;2016-05-20;244.453;6;False;0.623;0.0162;0.623;0.734;1.75e-06;0.145;-5.948;0.107;107.853;4;9;1;0.37
203;This Girl (Kungs Vs. Cookin' On 3 Burners);This Girl (Kungs Vs. Cookin' On 3 Burners);Kungs;2016-02-19;195.561;0;False;0.786;0.0865;0.786;0.69;9.03e-05;0.238;-4.665;0.04;122.006;4;3;1;0.485
204;Waves - Robin Schulz Radio Edit;Waves (Robin Schulz Radio Edit);Mr. Probz;2014-02-07;208.133;5;False;0.829;0.00821;0.829;0.51;0.0014;0.0829;-9.334;0.0369;119.993;4;5;0;0.45
205;GDFR (feat. Sage the Gemini & Lookas);GDFR (feat. Sage The Gemini & Lookas);Flo Rida;2014-09-29;190.185;63;False;0.657;0.000704;0.657;0.827;0.00534;0.065;-4.036;0.0734;145.889;4;5;1;0.69
206;Royals;Pure Heroine;Lorde;2013-09-27;190.185;82;False;0.674;0.121;0.674;0.428;0.0;0.132;-9.504;0.122;84.878;4;7;1;0.337
207;Outside (feat. Ellie Goulding);Motion;Calvin Harris;2014-10-31;227.266;83;False;0.646;0.213;0.646;0.823;0.0;0.322;-4.123;0.0394;128.035;4;2;0;0.418
208;El Perdón (with Enrique Iglesias);Fénix;Nicky Jam;2017-01-20;205.906;78;False;0.628;0.443;0.628;0.69;0.0;0.113;-5.83;0.0511;179.908;4;8;1;0.66
209;Black Beatles;SremmLife 2 (Deluxe);Rae Sremmurd;2016-08-12;291.893;81;True;0.794;0.142;0.794;0.632;0.0;0.128;-6.163;0.0649;145.926;4;0;1;0.355
210;Waiting For Love;Stories;Avicii;2015-10-02;230.613;84;False;0.579;0.31;0.579;0.736;0.0;0.198;-3.863;0.0527;127.999;4;6;0;0.613
211;Locked Away (feat. Adam Levine);What Dreams Are Made Of;R. City;2015-10-09;227.48;81;False;0.509;0.304;0.509;0.671;0.0;0.0452;-5.709;0.0678;118.413;5;1;1;0.55
212;Problem;Problem;Ariana Grande;2014-04-28;193.986;0;False;0.653;0.0214;0.653;0.802;1.93e-05;0.108;-5.317;0.215;102.993;4;1;0;0.589
213;Are You With Me - Radio Edit;Are You With Me (Radio Edit);Lost Frequencies;2015-01-26;138.842;48;False;0.776;0.466;0.776;0.574;7.83e-05;0.131;-9.882;0.0317;121.03;4;5;0;0.412
214;FourFiveSeconds;FourFiveSeconds;Rihanna;2015-01-24;188.238;82;False;0.582;0.875;0.582;0.272;0.0;0.13;-5.662;0.0501;205.846;4;2;1;0.354
215;Ain't Nobody (Loves Me Better);Ain't Nobody (Loves Me Better);Felix Jaehn;2015-04-03;186.146;50;False;0.777;0.683;0.777;0.564;0.000252;0.0696;-6.967;0.0315;117.973;4;2;0;0.465
216;Stay (feat. Maty Noyes);Cloud Nine;Kygo;2016-05-13;239.465;67;False;0.648;0.0444;0.648;0.736;0.000137;0.171;-7.948;0.0385;103.027;4;8;1;0.378
217;Time of Our Lives;Globalization;Pitbull;2014-11-21;229.36;85;True;0.721;0.0921;0.721;0.802;0.0;0.694;-5.797;0.0583;124.022;4;1;1;0.724
218;Break Free;My Everything (Deluxe);Ariana Grande;2014-08-25;214.84;79;False;0.687;0.0064;0.687;0.702;4.35e-05;0.204;-5.324;0.0455;129.956;4;7;0;0.284
219;Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack);Listen (Deluxe);David Guetta;2014-11-24;192.56;67;False;0.596;0.24;0.596;0.73;0.0;0.325;-4.091;0.151;85.979;4;9;1;0.525
220;Elastic Heart;1000 Forms Of Fear;Sia;2014-07-04;257.2;75;False;0.421;0.0117;0.421;0.791;1.48e-05;0.146;-4.998;0.0496;130.075;4;9;1;0.499
221;Thrift Shop (feat. Wanz);Thrift Shop (feat. Wanz);Macklemore & Ryan Lewis;2012-08-01;235.613;72;True;0.781;0.0619;0.781;0.526;0.0;0.0457;-6.985;0.293;94.992;4;6;0;0.662
222;Worth It (feat. Kid Ink);Reflection (Deluxe);Fifth Harmony;2015-01-30;224.573;79;False;0.884;0.063;0.884;0.765;7.04e-06;0.118;-3.865;0.0882;99.987;4;8;1;0.594
223;Titanium (feat. Sia);Nothing but the Beat 2.0;David Guetta;2011-08-24;245.04;72;False;0.604;0.0678;0.604;0.788;0.153;0.127;-3.673;0.103;126.06;4;0;0;0.301
224;Drag Me Down;Drag Me Down;One Direction;2015-07-31;192.106;1;False;0.723;0.0997;0.723;0.711;0.0;0.0528;-5.576;0.0378;138.098;4;0;0;0.606
225;Hymn for the Weekend - Seeb Remix;Hymn for the Weekend (Seeb Remix);Coldplay;2016-03-25;212.647;71;False;0.565;0.00868;0.565;0.849;4.68e-06;0.12;-3.516;0.0517;102.034;4;0;0;0.427
226;Hymn for the Weekend;A Head Full of Dreams;Coldplay;2015-12-04;258.266;86;False;0.491;0.211;0.491;0.693;6.92e-06;0.325;-6.487;0.0377;90.027;4;0;0;0.412
227;Blurred Lines;Blurred Lines;Robin Thicke;2013-01-01;263.053;60;False;0.861;0.00412;0.861;0.504;1.78e-05;0.0783;-7.707;0.0489;120.0;4;7;1;0.881
228;Jumpman;What A Time To Be Alive;Drake;2015-09-20;205.879;77;True;0.852;0.0559;0.852;0.553;0.0;0.332;-7.286;0.187;142.079;4;1;1;0.656
229;Don't;x (Deluxe Edition);Ed Sheeran;2014-06-21;219.84;78;False;0.806;0.0113;0.806;0.608;0.0;0.635;-7.008;0.0659;95.049;4;1;1;0.849
230;Adventure of a Lifetime;A Head Full of Dreams;Coldplay;2015-12-04;263.786;80;False;0.638;0.00205;0.638;0.924;0.000175;0.149;-3.887;0.036;111.995;4;7;1;0.53
231;Locked out of Heaven;Unorthodox Jukebox;Bruno Mars;2012-12-10;233.478;49;False;0.726;0.049;0.726;0.698;0.0;0.309;-4.165;0.0431;143.994;4;5;1;0.867
232;Roar;Roar;Katy Perry;2013-08-12;222.666;1;False;0.667;0.00778;0.667;0.791;1.19e-05;0.415;-4.329;0.0319;89.956;4;7;0;0.421
233;Fancy;Fancy;Iggy Azalea;2014-01-01;199.938;0;True;0.911;0.105;0.911;0.709;0.0;0.0491;-4.139;0.0673;94.979;4;10;0;0.365
234;Hey Brother;True;Avicii;2013-09-13;255.093;4;False;0.545;0.0309;0.545;0.78;4.64e-05;0.0828;-4.867;0.0436;125.014;4;7;0;0.458
235;Heroes (we could be);Forever;Alesso;2015-05-26;210.013;76;False;0.503;0.0305;0.503;0.748;0.0;0.343;-4.124;0.0619;125.896;4;5;1;0.356
236;Hold On, We're Going Home;Nothing Was The Same (Deluxe);Drake;2013-01-01;227.88;0;False;0.776;0.00415;0.776;0.413;2.68e-05;0.0724;-7.438;0.0952;100.003;4;6;0;0.287
237;We Found Love (feat. Rihanna);18 Months;Calvin Harris;2012-10-29;215.52;0;False;0.738;0.0234;0.738;0.776;0.0018;0.0775;-4.808;0.0392;127.984;4;1;1;0.608
238;Ni**as In Paris;Watch The Throne (Deluxe);JAY-Z;2011-08-08;219.333;43;True;0.788;0.127;0.788;0.859;0.0;0.348;-5.542;0.315;140.027;4;1;1;0.769
239;Budapest;Did You Hear the Rain?;George Ezra;2013-11-03;202.12;55;False;0.706;0.261;0.706;0.247;0.0;0.103;-17.961;0.0311;127.812;4;5;1;0.424
240;Sail;Megalithic Symphony;AWOLNATION;2011-03-15;259.093;79;False;0.826;0.441;0.826;0.436;0.615;0.0964;-9.583;0.0558;119.051;4;1;1;0.272
241;Ho Hey;The Lumineers;The Lumineers;2012-04-03;163.133;0;False;0.685;0.794;0.685;0.466;2.06e-06;0.0915;-9.074;0.0304;79.936;4;0;1;0.353
242;Gold;low kii savage;Kiiara;2016-03-22;225.882;68;False;0.6;0.615;0.6;0.412;0.0025;0.134;-9.343;0.344;113.049;5;8;1;0.408
243;679 (feat. Remy Boyz);679 (feat. Remy Boyz);Fetty Wap;2015-06-29;196.693;80;True;0.618;0.00256;0.618;0.717;0.0;0.625;-5.738;0.318;190.05;4;7;1;0.603
244;Runaway (U & I);Pharmacy;Galantis;2015-06-05;227.073;79;False;0.506;0.00711;0.506;0.805;0.00193;0.0856;-4.119;0.0469;126.008;4;1;1;0.383
245;Hands To Myself;Revival (Deluxe);Selena Gomez;2015-10-09;200.68;68;False;0.811;0.0147;0.811;0.499;2.44e-06;0.342;-7.161;0.118;111.016;4;5;0;0.466
246;Do I Wanna Know?;AM;Arctic Monkeys;2013-09-09;272.394;0;False;0.548;0.186;0.548;0.532;0.000263;0.217;-7.596;0.0323;85.03;4;5;1;0.405
247;One Last Time;My Everything (Deluxe);Ariana Grande;2014-08-25;197.266;83;False;0.628;0.093;0.628;0.593;1.65e-06;0.096;-5.036;0.0323;125.026;4;8;1;0.104
248;Send My Love (To Your New Lover);25;Adele;2016-06-24;223.08;2;False;0.69;0.0415;0.69;0.524;3.16e-06;0.17;-8.39;0.103;164.023;4;6;0;0.562
249;Somebody That I Used To Know;Making Mirrors;Gotye;2011-01-01;244.973;80;False;0.864;0.591;0.864;0.495;0.000133;0.0992;-7.036;0.037;129.062;4;0;1;0.72
250;When I Was Your Man;Unorthodox Jukebox;Bruno Mars;2012-12-07;213.826;88;False;0.612;0.932;0.612;0.28;0.0;0.088;-8.648;0.0434;72.795;4;0;1;0.387
251;Marvin Gaye (feat. Meghan Trainor);Some Type of Love;Charlie Puth;2015-05-01;190.453;70;False;0.795;0.417;0.795;0.616;0.0;0.349;-5.281;0.06;110.015;4;1;0;0.815
252;Hall of Fame (feat. will.i.am);#3;The Script;2012-09-10;202.533;73;False;0.421;0.0654;0.421;0.873;0.0;0.123;-4.343;0.0564;84.786;4;10;1;0.629
253;Mirrors;Mirrors;Justin Timberlake;2013-02-11;485.36;0;False;0.344;0.24;0.344;0.509;0.0;0.083;-6.607;0.0722;76.004;4;5;0;0.529
254;Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit;Get Lucky (feat. Pharrell Williams & Nile Rodgers) [Radio Edit];Daft Punk;2013-04-19;248.413;86;False;0.794;0.0426;0.794;0.811;1.07e-06;0.101;-8.966;0.038;116.047;4;6;0;0.862
255;Don't You Worry Child - Radio Edit;Don't You Worry Child;Swedish House Mafia;2012-09-14;212.862;81;False;0.612;0.112;0.612;0.84;0.0;0.116;-3.145;0.0509;129.042;4;11;0;0.438
256;Bitch Better Have My Money;Bitch Better Have My Money;Rihanna;2015-03-26;219.305;78;True;0.781;0.0509;0.781;0.728;1.94e-06;0.257;-4.981;0.0621;102.99;4;1;1;0.395
257;Just Give Me a Reason;The Truth About Love;P!nk;2012-09-17;242.733;0;False;0.778;0.346;0.778;0.547;0.000302;0.132;-7.273;0.0489;95.002;4;2;1;0.441
258;The Nights;The Days / Nights;Avicii;2014-01-01;176.658;89;False;0.527;0.0166;0.527;0.835;0.0;0.249;-5.298;0.0433;125.983;4;6;1;0.654
259;Young, Wild & Free (feat. Bruno Mars);Young, Wild & Free (feat. Bruno Mars);Snoop Dogg;2011-10-11;207.333;82;True;0.715;0.0525;0.715;0.655;0.0;0.115;-6.425;0.137;95.078;4;0;1;0.531
260;Call Me Maybe;Call Me Maybe;Carly Rae Jepsen;2012-01-01;193.466;53;False;0.783;0.0109;0.783;0.584;2.91e-06;0.108;-6.572;0.0409;120.031;4;7;1;0.632
261;Little Talks;Into The Woods;Of Monsters and Men;2011-01-01;267.693;0;False;0.455;0.0234;0.455;0.786;0.0;0.145;-5.16;0.0338;103.172;4;1;1;0.416
262;Lay It All on Me (feat. Ed Sheeran);We the Generation;Rudimental;2015-10-02;242.44;62;False;0.669;0.141;0.669;0.747;0.0;0.185;-7.108;0.0428;122.531;4;6;1;0.483
263;Here;Know-It-All (Deluxe);Alessia Cara;2015-11-13;199.453;71;False;0.376;0.0785;0.376;0.821;0.0;0.0823;-3.974;0.104;120.462;4;0;1;0.331
264;Dangerous Woman;Dangerous Woman;Ariana Grande;2016-05-20;235.946;4;False;0.664;0.0529;0.664;0.602;0.0;0.356;-5.369;0.0412;134.049;3;4;0;0.289
265;We Are Young (feat. Janelle Monáe);Some Nights;fun.;2012-02-21;250.626;78;False;0.378;0.02;0.378;0.638;7.66e-05;0.0849;-5.576;0.075;184.086;4;10;1;0.735
266;Love The Way You Lie;Recovery;Eminem;2010-06-18;263.373;86;True;0.749;0.241;0.749;0.925;0.0;0.52;-5.034;0.227;86.989;4;10;1;0.641
267;Turn Down for What;Turn Down for What;DJ Snake;2013-12-18;213.733;75;False;0.818;0.00107;0.818;0.799;0.128;0.057;-4.1;0.156;100.014;4;1;0;0.0815
268;Centuries;American Beauty/American Psycho;Fall Out Boy;2015-01-20;228.36;84;False;0.393;0.00359;0.393;0.858;0.0;0.102;-2.868;0.0729;176.042;4;4;0;0.56
269;We Can't Stop;Bangerz (Deluxe Version);Miley Cyrus;2013-10-04;231.24;82;False;0.613;0.00882;0.613;0.622;0.0;0.37;-5.794;0.0334;80.003;4;1;0;0.484
270;"Moves Like Jagger - Studio Recording From ""The Voice"" Performance";Hands All Over;Maroon 5;2010;201.16;74;False;0.722;0.0111;0.722;0.758;0.0;0.308;-4.477;0.0471;128.047;4;11;0;0.62
271;The A Team;+;Ed Sheeran;2011-09-09;258.373;79;False;0.642;0.669;0.642;0.289;0.0;0.18;-9.918;0.0367;84.996;4;9;1;0.407
272;On Top Of The World;Night Visions (Deluxe);Imagine Dragons;2012-09-04;189.84;71;False;0.635;0.0893;0.635;0.926;4.53e-06;0.0928;-5.589;0.151;100.048;4;0;1;0.761
273;Controlla;Views;Drake;2016-05-13;245.226;1;True;0.611;0.0781;0.611;0.468;0.0;0.101;-11.084;0.179;92.092;4;10;0;0.349
274;Drunk in Love (feat. Jay-Z);BEYONCÉ;Beyoncé;2013-12-20;323.48;48;True;0.589;0.00969;0.589;0.621;0.00104;0.181;-6.902;0.0468;140.03;4;5;0;0.401
275;Pumped Up Kicks;Torches;Foster The People;2011-05-23;239.6;87;False;0.733;0.145;0.733;0.71;0.115;0.0956;-5.849;0.0292;127.975;4;5;0;0.965
276;11-lip;BEYONCÉ [Platinum Edition];Beyoncé;2014-11-24;213.506;75;False;0.747;0.0128;0.747;0.705;0.0;0.126;-5.137;0.126;136.024;4;9;0;0.56
277;Fix You;X&Y;Coldplay;2005-06-07;295.533;86;False;0.209;0.164;0.209;0.417;0.00196;0.113;-8.74;0.0338;138.178;4;3;1;0.124
278;'Till I Collapse;The Eminem Show;Eminem;2002-05-26;297.786;90;True;0.548;0.0622;0.548;0.847;0.0;0.0816;-3.237;0.186;171.447;4;1;1;0.1
279;Like I'm Gonna Lose You (feat. John Legend);Title (Deluxe);Meghan Trainor;2015-01-09;225.053;83;False;0.63;0.4;0.63;0.53;0.0;0.177;-7.259;0.0434;108.038;3;0;1;0.417
280;Viva La Vida;Viva La Vida or Death and All His Friends;Coldplay;2008-05-26;242.373;84;False;0.486;0.0954;0.486;0.617;3.23e-06;0.109;-7.115;0.0287;138.015;4;5;0;0.417
281;Passionfruit;More Life;Drake;2017-03-18;298.94;86;True;0.809;0.256;0.809;0.463;0.085;0.109;-11.377;0.0396;111.98;4;11;1;0.364
282;Broccoli;Broccoli;Shelley FKA DRAM;2016-04-06;225.205;69;True;0.886;0.236;0.886;0.525;0.0;0.057;-7.39;0.132;145.99;4;8;1;0.708
283;My Way;My Way;Calvin Harris;2016-09-16;219.159;79;False;0.818;0.093;0.818;0.913;3.69e-05;0.161;-3.06;0.0426;119.986;4;4;0;0.536
284;Galway Girl;÷ (Deluxe);Ed Sheeran;2017-03-03;170.826;82;False;0.624;0.0735;0.624;0.876;0.0;0.327;-3.374;0.1;99.943;4;9;1;0.781
285;Midnight City;Hurry Up We're Dreaming;M83;2011-10-18;243.96;0;False;0.521;0.0191;0.521;0.752;0.0;0.0682;-5.374;0.0369;105.051;4;11;0;0.3
286;Treasure;Unorthodox Jukebox;Bruno Mars;2012-12-07;178.56;82;True;0.874;0.0412;0.874;0.692;7.24e-05;0.324;-5.28;0.0431;116.017;4;5;0;0.937
287;I Don't Fuck With You;I Don't Fuck With You;Big Sean;2014-01-01;284.56;0;True;0.82;0.0327;0.82;0.723;0.0;0.347;-5.505;0.0656;97.98;4;1;1;0.417
288;I Love It (feat. Charli XCX);I Love It;Icona Pop;2012-06-19;155.337;68;True;0.714;0.00855;0.714;0.905;2.55e-05;0.146;-2.663;0.0289;125.927;4;8;1;0.838
